course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,rating,course_document
AI for Business Leaders | Alexander Young | Advanced,AI for Business Leaders,Alexander Young,Advanced,Yes,Yes,59.4,273.92,0.713,26693.0,3.71,Course Name: AI for Business Leaders. Instructor: Alexander Young. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 59.4. Course Price: 273.92. Feedback Score: 0.713. Enrollment Numbers: 26693.0. Average Rating: 3.71.
AI for Business Leaders | Isabella Scott | Intermediate,AI for Business Leaders,Isabella Scott,Intermediate,No,No,48.72,251.86,0.764,24688.0,3.79,Course Name: AI for Business Leaders. Instructor: Isabella Scott. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: No. Course Duration Hours: 48.72. Course Price: 251.86. Feedback Score: 0.764. Enrollment Numbers: 24688.0. Average Rating: 3.79.
AI for Business Leaders | James Clark | Advanced,AI for Business Leaders,James Clark,Advanced,No,No,59.2,258.57,0.756,29249.0,3.91,Course Name: AI for Business Leaders. Instructor: James Clark. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: No. Course Duration Hours: 59.2. Course Price: 258.57. Feedback Score: 0.756. Enrollment Numbers: 29249.0. Average Rating: 3.91.
AI for Business Leaders | James Clark | Beginner,AI for Business Leaders,James Clark,Beginner,Yes,Yes,53.39,255.83,0.741,26987.0,4.01,Course Name: AI for Business Leaders. Instructor: James Clark. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 53.39. Course Price: 255.83. Feedback Score: 0.741. Enrollment Numbers: 26987.0. Average Rating: 4.01.
AI for Business Leaders | James Clark | Intermediate,AI for Business Leaders,James Clark,Intermediate,Yes,Yes,49.1,249.45,0.73,26676.0,4.07,Course Name: AI for Business Leaders. Instructor: James Clark. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 49.1. Course Price: 249.45. Feedback Score: 0.73. Enrollment Numbers: 26676.0. Average Rating: 4.07.
AI for Business Leaders | Jessica Martinez | Advanced,AI for Business Leaders,Jessica Martinez,Advanced,Yes,Yes,54.08,260.14,0.75,26127.0,3.92,Course Name: AI for Business Leaders. Instructor: Jessica Martinez. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 54.08. Course Price: 260.14. Feedback Score: 0.75. Enrollment Numbers: 26127.0. Average Rating: 3.92.
AI for Business Leaders | Jessica Martinez | Beginner,AI for Business Leaders,Jessica Martinez,Beginner,No,Yes,54.49,283.38,0.751,23616.0,3.94,Course Name: AI for Business Leaders. Instructor: Jessica Martinez. Difficulty Level: Beginner. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 54.49. Course Price: 283.38. Feedback Score: 0.751. Enrollment Numbers: 23616.0. Average Rating: 3.94.
AI for Business Leaders | Jessica Martinez | Intermediate,AI for Business Leaders,Jessica Martinez,Intermediate,Yes,Yes,51.23,245.71,0.77,24383.0,4.18,Course Name: AI for Business Leaders. Instructor: Jessica Martinez. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 51.23. Course Price: 245.71. Feedback Score: 0.77. Enrollment Numbers: 24383.0. Average Rating: 4.18.
AI for Business Leaders | Liam Adams | Advanced,AI for Business Leaders,Liam Adams,Advanced,Yes,Yes,48.36,240.71,0.74,27367.0,4.01,Course Name: AI for Business Leaders. Instructor: Liam Adams. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 48.36. Course Price: 240.71. Feedback Score: 0.74. Enrollment Numbers: 27367.0. Average Rating: 4.01.
AI for Business Leaders | Liam Adams | Beginner,AI for Business Leaders,Liam Adams,Beginner,Yes,Yes,46.79,267.4,0.754,24148.0,3.9,Course Name: AI for Business Leaders. Instructor: Liam Adams. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 46.79. Course Price: 267.4. Feedback Score: 0.754. Enrollment Numbers: 24148.0. Average Rating: 3.9.
AI for Business Leaders | Liam Adams | Intermediate,AI for Business Leaders,Liam Adams,Intermediate,No,Yes,51.07,228.74,0.767,26030.0,3.93,Course Name: AI for Business Leaders. Instructor: Liam Adams. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 51.07. Course Price: 228.74. Feedback Score: 0.767. Enrollment Numbers: 26030.0. Average Rating: 3.93.
AI for Business Leaders | Michael Brown | Advanced,AI for Business Leaders,Michael Brown,Advanced,Yes,Yes,50.81,240.06,0.735,25910.0,4.13,Course Name: AI for Business Leaders. Instructor: Michael Brown. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 50.81. Course Price: 240.06. Feedback Score: 0.735. Enrollment Numbers: 25910.0. Average Rating: 4.13.
AI for Business Leaders | Michael Brown | Beginner,AI for Business Leaders,Michael Brown,Beginner,Yes,No,56.99,267.28,0.764,23271.0,4.02,Course Name: AI for Business Leaders. Instructor: Michael Brown. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: No. Course Duration Hours: 56.99. Course Price: 267.28. Feedback Score: 0.764. Enrollment Numbers: 23271.0. Average Rating: 4.02.
AI for Business Leaders | Michael Brown | Intermediate,AI for Business Leaders,Michael Brown,Intermediate,Yes,Yes,52.25,254.6,0.748,25903.0,3.94,Course Name: AI for Business Leaders. Instructor: Michael Brown. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 52.25. Course Price: 254.6. Feedback Score: 0.748. Enrollment Numbers: 25903.0. Average Rating: 3.94.
AI for Business Leaders | Olivia Taylor | Advanced,AI for Business Leaders,Olivia Taylor,Advanced,Yes,Yes,54.92,237.67,0.77,24076.0,3.9,Course Name: AI for Business Leaders. Instructor: Olivia Taylor. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 54.92. Course Price: 237.67. Feedback Score: 0.77. Enrollment Numbers: 24076.0. Average Rating: 3.9.
AI for Business Leaders | Olivia Taylor | Beginner,AI for Business Leaders,Olivia Taylor,Beginner,Yes,Yes,47.92,255.34,0.774,24606.0,3.97,Course Name: AI for Business Leaders. Instructor: Olivia Taylor. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 47.92. Course Price: 255.34. Feedback Score: 0.774. Enrollment Numbers: 24606.0. Average Rating: 3.97.
AI for Business Leaders | Olivia Taylor | Intermediate,AI for Business Leaders,Olivia Taylor,Intermediate,Yes,No,52.48,253.04,0.763,23508.0,3.8,Course Name: AI for Business Leaders. Instructor: Olivia Taylor. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: No. Course Duration Hours: 52.48. Course Price: 253.04. Feedback Score: 0.763. Enrollment Numbers: 23508.0. Average Rating: 3.8.
AI for Business Leaders | Prof. Emily Johnson | Advanced,AI for Business Leaders,Prof. Emily Johnson,Advanced,Yes,Yes,50.76,278.28,0.754,26680.0,4.1,Course Name: AI for Business Leaders. Instructor: Prof. Emily Johnson. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 50.76. Course Price: 278.28. Feedback Score: 0.754. Enrollment Numbers: 26680.0. Average Rating: 4.1.
AI for Business Leaders | Prof. Emily Johnson | Beginner,AI for Business Leaders,Prof. Emily Johnson,Beginner,Yes,Yes,53.96,274.72,0.744,26433.0,3.89,Course Name: AI for Business Leaders. Instructor: Prof. Emily Johnson. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 53.96. Course Price: 274.72. Feedback Score: 0.744. Enrollment Numbers: 26433.0. Average Rating: 3.89.
AI for Business Leaders | Prof. Emily Johnson | Intermediate,AI for Business Leaders,Prof. Emily Johnson,Intermediate,Yes,Yes,51.05,223.59,0.744,28275.0,3.99,Course Name: AI for Business Leaders. Instructor: Prof. Emily Johnson. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 51.05. Course Price: 223.59. Feedback Score: 0.744. Enrollment Numbers: 28275.0. Average Rating: 3.99.
AI for Business Leaders | Sarah Lee | Advanced,AI for Business Leaders,Sarah Lee,Advanced,Yes,No,57.91,226.44,0.779,29595.0,3.75,Course Name: AI for Business Leaders. Instructor: Sarah Lee. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: No. Course Duration Hours: 57.91. Course Price: 226.44. Feedback Score: 0.779. Enrollment Numbers: 29595.0. Average Rating: 3.75.
AI for Business Leaders | Sarah Lee | Beginner,AI for Business Leaders,Sarah Lee,Beginner,No,Yes,51.72,279.47,0.737,25711.0,3.9,Course Name: AI for Business Leaders. Instructor: Sarah Lee. Difficulty Level: Beginner. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 51.72. Course Price: 279.47. Feedback Score: 0.737. Enrollment Numbers: 25711.0. Average Rating: 3.9.
AI for Business Leaders | Sarah Lee | Intermediate,AI for Business Leaders,Sarah Lee,Intermediate,No,Yes,50.87,248.41,0.724,24461.0,3.88,Course Name: AI for Business Leaders. Instructor: Sarah Lee. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 50.87. Course Price: 248.41. Feedback Score: 0.724. Enrollment Numbers: 24461.0. Average Rating: 3.88.
AI for Business Leaders | Sophia Anderson | Advanced,AI for Business Leaders,Sophia Anderson,Advanced,No,Yes,52.53,270.57,0.733,27719.0,3.94,Course Name: AI for Business Leaders. Instructor: Sophia Anderson. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 52.53. Course Price: 270.57. Feedback Score: 0.733. Enrollment Numbers: 27719.0. Average Rating: 3.94.
AI for Business Leaders | Sophia Anderson | Beginner,AI for Business Leaders,Sophia Anderson,Beginner,Yes,Yes,51.15,268.52,0.762,23200.0,3.95,Course Name: AI for Business Leaders. Instructor: Sophia Anderson. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 51.15. Course Price: 268.52. Feedback Score: 0.762. Enrollment Numbers: 23200.0. Average Rating: 3.95.
AI for Business Leaders | Sophia Anderson | Intermediate,AI for Business Leaders,Sophia Anderson,Intermediate,No,Yes,53.55,247.69,0.751,23334.0,4.14,Course Name: AI for Business Leaders. Instructor: Sophia Anderson. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: Yes. Course Duration Hours: 53.55. Course Price: 247.69. Feedback Score: 0.751. Enrollment Numbers: 23334.0. Average Rating: 4.14.
AI for Business Leaders | William Thomas | Advanced,AI for Business Leaders,William Thomas,Advanced,Yes,Yes,52.98,275.2,0.749,27754.0,4.0,Course Name: AI for Business Leaders. Instructor: William Thomas. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 52.98. Course Price: 275.2. Feedback Score: 0.749. Enrollment Numbers: 27754.0. Average Rating: 4.0.
AI for Business Leaders | William Thomas | Beginner,AI for Business Leaders,William Thomas,Beginner,Yes,Yes,50.32,265.7,0.753,25476.0,3.94,Course Name: AI for Business Leaders. Instructor: William Thomas. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 50.32. Course Price: 265.7. Feedback Score: 0.753. Enrollment Numbers: 25476.0. Average Rating: 3.94.
AI for Business Leaders | William Thomas | Intermediate,AI for Business Leaders,William Thomas,Intermediate,Yes,Yes,47.44,256.95,0.741,27251.0,3.88,Course Name: AI for Business Leaders. Instructor: William Thomas. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 47.44. Course Price: 256.95. Feedback Score: 0.741. Enrollment Numbers: 27251.0. Average Rating: 3.88.
Advanced Machine Learning | Alexander Young | Advanced,Advanced Machine Learning,Alexander Young,Advanced,Yes,Yes,48.53,251.16,0.772,27367.0,4.03,Course Name: Advanced Machine Learning. Instructor: Alexander Young. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 48.53. Course Price: 251.16. Feedback Score: 0.772. Enrollment Numbers: 27367.0. Average Rating: 4.03.
Advanced Machine Learning | Alexander Young | Beginner,Advanced Machine Learning,Alexander Young,Beginner,Yes,Yes,54.47,262.22,0.721,26451.0,3.96,Course Name: Advanced Machine Learning. Instructor: Alexander Young. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 54.47. Course Price: 262.22. Feedback Score: 0.721. Enrollment Numbers: 26451.0. Average Rating: 3.96.
Advanced Machine Learning | Alexander Young | Intermediate,Advanced Machine Learning,Alexander Young,Intermediate,Yes,No,48.39,256.48,0.755,26173.0,3.88,Course Name: Advanced Machine Learning. Instructor: Alexander Young. Difficulty Level: Intermediate. Certification Offered: Yes. Study Material Available: No. Course Duration Hours: 48.39. Course Price: 256.48. Feedback Score: 0.755. Enrollment Numbers: 26173.0. Average Rating: 3.88.
Advanced Machine Learning | Benjamin Lewis | Advanced,Advanced Machine Learning,Benjamin Lewis,Advanced,Yes,Yes,52.41,256.75,0.74,21405.0,3.94,Course Name: Advanced Machine Learning. Instructor: Benjamin Lewis. Difficulty Level: Advanced. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 52.41. Course Price: 256.75. Feedback Score: 0.74. Enrollment Numbers: 21405.0. Average Rating: 3.94.
Advanced Machine Learning | Benjamin Lewis | Beginner,Advanced Machine Learning,Benjamin Lewis,Beginner,Yes,Yes,50.2,255.43,0.763,25928.0,4.0,Course Name: Advanced Machine Learning. Instructor: Benjamin Lewis. Difficulty Level: Beginner. Certification Offered: Yes. Study Material Available: Yes. Course Duration Hours: 50.2. Course Price: 255.43. Feedback Score: 0.763. Enrollment Numbers: 25928.0. Average Rating: 4.0.
Advanced Machine Learning | Benjamin Lewis | Intermediate,Advanced Machine Learning,Benjamin Lewis,Intermediate,No,No,54.02,267.64,0.742,23641.0,3.97,Course Name: Advanced Machine Learning. Instructor: Benjamin Lewis. Difficulty Level: Intermediate. Certification Offered: No. Study Material Available: No. Course Duration Hours: 54.02. Course Price: 267.64. Feedback Score: 0.742. Enrollment Numbers: 23641.0. Average Rating: 3.97.
Advanced Machine Learning | Charlotte King | Advanced,Advanced Machine Learning,Charlotte King,Advanced,No,No,56.87,218.84,0.719,23485.0,4.01,Course Name: Advanced Machine Learning. Instructor: Charlotte King. Difficulty Level: Advanced. Certification Offered: No. Study Material Available: No. Course Duration Hours: 56.87. Course Price: 218.84. Feedback Score: 0.719. Enrollment Numbers: 23485.0. Average Rating: 4.01.
