user_encoded,course_encoded,rating
35407,56,4.2
3868,109,4.0
9387,865,4.7
22127,43,5.0
19362,8,2.7
11562,58,4.2
27774,14,5.0
11316,388,2.7
9448,884,3.7
29090,45,3.5
24518,766,4.7
42997,898,2.6
19618,968,3.2
27067,448,4.2
26840,1155,3.8
36888,1090,5.0
4109,1092,5.0
25742,860,5.0
13231,548,3.7
2130,699,5.0
23597,1043,4.1
41574,709,2.7
12591,1040,4.7
16858,817,4.9
2606,1177,4.5
42145,827,2.4
42502,548,3.8
18676,169,3.0
18757,736,2.6
757,189,4.0
27770,31,5.0
3566,478,3.5
13112,904,3.0
34370,187,3.7
6092,715,2.9
6877,721,4.4
34229,667,4.7
25061,778,3.8
32196,318,3.2
14691,234,3.7
39925,559,4.1
15628,662,3.2
22748,242,4.8
18268,1004,3.7
7151,133,3.2
14858,772,4.4
12155,1062,5.0
24464,982,4.3
32808,618,4.4
40659,547,4.4
22476,707,4.1
21918,1126,4.3
27874,791,4.6
7149,649,3.2
5132,1186,3.5
990,229,4.0
20731,385,3.7
30025,487,3.6
7920,805,4.3
927,271,4.8
25374,235,2.7
14579,557,4.3
39915,217,5.0
6719,562,1.6
4515,307,4.1
42985,1155,3.0
17339,770,2.0
39367,77,5.0
42377,91,2.5
39720,1036,5.0
2858,968,3.7
11649,814,5.0
25429,886,4.8
8318,120,3.4
14641,199,4.0
41396,187,4.8
7000,493,5.0
16878,661,4.4
1434,1135,4.1
3003,1171,4.3
11459,409,3.5
6242,853,4.5
16535,451,4.4
24198,621,3.5
8121,394,3.7
38086,941,5.0
11468,624,4.1
26347,805,4.4
11427,557,2.6
25219,754,3.0
25875,1174,4.2
37959,849,2.8
37369,935,3.4
30495,317,4.4
25301,1132,4.0
22704,416,4.6
32183,1131,3.8
23090,974,4.5
33412,362,3.3
19944,822,3.8
12129,690,4.2
28189,164,3.1
27550,724,4.1
2434,991,3.0
34734,490,4.6
20156,1082,3.7
38632,745,3.7
30504,19,3.3
8459,796,4.1
36290,649,5.0
8215,798,3.1
14117,93,5.0
3968,820,4.0
23970,16,4.5
33410,580,2.7
26800,803,3.8
25255,856,4.5
42463,1005,4.6
22058,92,4.6
19626,54,3.4
735,18,4.1
15622,689,3.2
5879,556,2.6
10290,1174,5.0
30454,1094,2.3
22646,527,3.4
3439,937,4.8
4355,849,5.0
30715,407,5.0
24317,242,4.5
32994,499,4.2
35260,785,4.2
27966,473,3.7
33124,66,3.1
39977,656,5.0
3359,1183,3.3
15068,924,3.6
20868,276,4.2
17948,768,4.7
37533,979,3.8
17707,211,4.1
33285,923,4.0
2884,739,4.8
10478,1140,3.7
27687,472,3.5
23495,392,4.0
30162,1171,3.1
23696,925,4.8
23803,785,3.6
24905,993,4.4
21949,388,3.5
20023,1086,3.0
42409,926,4.6
13199,661,4.1
8453,593,4.8
9705,989,3.7
368,1081,3.8
35948,667,4.7
17587,776,3.0
2793,323,4.0
14854,1171,4.4
20821,1105,3.5
33300,87,5.0
22602,275,3.9
9772,902,4.7
364,169,4.9
6484,961,2.7
34891,83,4.7
28987,522,3.8
20388,228,4.7
23727,412,4.4
38398,1003,4.0
33510,792,4.0
16326,972,3.9
30914,886,3.4
40878,442,2.9
42206,293,5.0
15119,319,2.8
17682,592,3.8
15520,1133,3.6
32723,80,3.9
4400,824,3.4
30212,460,3.2
20071,860,5.0
6322,1092,5.0
28103,1009,3.4
38740,753,3.1
31328,634,5.0
17419,481,3.3
4867,1161,4.5
37421,649,4.1
40902,1120,3.7
2490,158,5.0
18458,1141,3.3
40071,569,4.6
38829,1088,5.0
12420,361,4.0
35929,365,3.4
40598,121,3.5
628,192,4.1
602,785,4.6
34562,353,4.2
40865,19,4.6
12010,1009,5.0
14479,222,4.2
6360,838,3.4
21177,565,2.2
31938,368,3.6
3753,1002,5.0
30514,127,4.5
14763,1024,4.4
27954,823,4.0
4729,681,3.2
7174,601,4.0
18468,856,4.0
32220,644,3.4
20415,80,3.8
27396,132,4.7
9591,785,3.4
19003,307,5.0
34944,1093,3.5
1003,872,4.9
23559,1096,4.6
909,395,3.5
16031,453,4.8
20982,1086,4.6
18624,977,3.1
18747,1027,3.5
9631,517,3.7
19840,1015,3.2
32428,580,4.8
8047,1128,4.3
20534,92,4.1
32947,257,3.2
7681,904,3.8
32078,91,4.7
21116,487,2.4
5854,290,4.7
32525,1055,4.2
5792,960,4.5
41610,400,4.8
20456,778,4.0
14968,457,5.0
30546,542,4.4
6070,1098,1.9
9929,331,3.7
38251,821,5.0
1323,530,4.0
18739,860,3.9
40402,1086,3.8
33802,45,3.4
23891,1003,4.3
20184,469,3.1
16479,551,3.7
15492,878,4.3
19513,1105,2.8
23362,326,3.2
24503,1030,4.1
11911,263,3.5
36609,1118,4.5
22904,790,3.0
15337,594,3.4
35849,1192,4.4
22746,1156,4.7
34814,788,3.3
32061,869,4.8
1135,328,3.6
22289,1177,5.0
31068,657,3.9
20606,486,4.1
17166,550,3.6
29918,611,3.2
5672,581,4.7
32918,398,4.1
23212,386,4.0
21893,1030,2.2
24396,16,4.6
24863,493,4.0
13359,397,4.0
38446,1038,4.8
17851,1198,5.0
4081,1190,3.7
18352,407,4.2
8121,315,4.0
3183,859,3.5
26267,136,3.4
11311,635,4.2
22057,856,4.1
36605,898,3.5
37096,1109,5.0
33986,1024,3.4
37129,172,4.2
12663,864,4.3
436,71,3.8
29407,438,2.7
29673,322,3.6
24269,763,5.0
20746,607,4.3
29067,481,4.5
14945,381,3.8
32687,167,5.0
39935,538,4.1
42617,712,5.0
1805,568,3.1
31484,884,3.5
39536,212,5.0
19638,340,3.5
29958,402,3.5
32586,52,3.9
17767,946,4.4
23836,5,4.4
24136,75,4.0
9482,500,3.9
18789,886,4.2
22372,391,4.3
26266,1025,4.0
11939,1035,3.2
38440,70,4.4
41954,160,4.1
5335,1064,4.5
15238,373,3.5
33214,481,5.0
36616,757,5.0
38553,7,4.2
35305,917,3.1
2846,501,4.4
16498,713,4.5
35824,80,2.4
21207,147,4.5
6124,1125,4.0
11492,1108,3.5
29524,1190,4.2
9456,119,3.1
9499,980,4.7
18538,1158,5.0
21579,1086,3.8
20745,46,4.1
577,881,3.8
25703,560,4.0
8036,451,2.6
40137,838,4.3
31560,1037,3.2
16536,226,2.9
34806,832,3.9
27619,44,3.4
28818,1027,3.2
23701,598,4.2
32635,215,5.0
4157,1020,5.0
17427,698,3.0
33560,119,3.0
41149,664,3.8
34668,656,3.4
32936,619,3.5
11399,131,3.9
30754,491,3.0
27222,876,3.3
14941,295,3.6
23859,113,5.0
29716,257,4.3
39289,897,3.4
4930,508,4.6
42718,425,5.0
4131,206,3.6
8720,527,4.8
9,976,5.0
16649,868,3.1
20597,108,4.2
25579,581,4.5
32765,385,3.6
871,436,3.8
24009,28,5.0
30256,412,2.9
7247,1153,4.0
40041,235,3.4
40865,865,3.4
20635,288,5.0
3578,313,4.8
17548,387,3.6
5997,31,4.1
5971,252,4.3
18294,484,3.8
40233,577,2.9
17610,55,3.1
15577,772,4.6
8898,154,4.1
34628,885,4.8
7493,409,4.0
338,1147,3.2
356,403,4.0
35409,190,2.4
41424,1075,2.8
25270,686,4.7
10998,544,3.9
15896,1110,5.0
28210,604,4.8
8490,367,3.6
33511,894,4.6
13030,574,5.0
20413,379,4.8
20368,1056,4.3
3116,630,3.8
9407,931,5.0
4136,188,4.3
27860,1175,4.1
11610,155,5.0
41672,361,4.8
33519,397,3.0
30133,981,3.0
38995,67,4.0
14762,274,1.9
18983,139,4.0
3908,107,4.3
32646,229,4.4
39367,694,4.5
36984,784,4.4
23098,370,3.8
31308,725,5.0
40799,210,5.0
6229,309,3.4
12496,595,3.7
42714,186,4.1
37282,397,3.2
43171,1075,4.7
24715,1113,3.6
27732,560,3.4
32108,691,5.0
37120,5,4.2
7259,1190,3.3
35751,864,4.8
21020,1139,5.0
32537,508,3.6
37003,145,3.1
19842,913,3.5
16600,70,4.5
17072,133,5.0
13157,384,3.8
38229,257,4.3
1074,1183,3.2
34396,34,3.7
10488,411,4.3
32376,448,3.0
23133,1187,4.9
13616,91,5.0
11255,798,4.1
34296,587,4.9
5978,1082,4.4
36558,19,4.3
6906,396,3.5
5974,1082,2.9
22465,967,4.9
20239,881,3.3
8786,621,4.5
15305,878,2.9
25042,1105,4.7
27428,699,4.3
36583,1015,4.9
3987,1185,4.0
4175,433,5.0
37249,181,4.9
32570,391,3.8
34440,700,4.0
42621,968,4.1
17156,940,4.3
18878,508,3.6
17253,844,3.0
31933,1120,3.8
23538,627,3.6
6837,562,4.6
12412,1159,4.1
4798,1013,5.0
3697,1060,3.7
33763,541,3.5
31644,358,5.0
10354,111,4.5
38902,568,4.4
5388,556,3.7
14800,698,2.7
20954,1189,3.6
34702,1138,4.0
13096,482,3.3
5374,448,4.4
5252,268,4.8
10030,967,4.4
19389,893,4.4
20837,238,3.4
39260,818,5.0
36892,312,4.7
35661,322,3.2
15802,1149,2.6
31175,833,3.8
28931,912,3.7
3606,80,4.9
43081,367,4.1
8743,136,3.3
24881,147,5.0
9752,636,4.7
20740,1153,4.6
18588,193,3.9
19001,252,3.0
39463,715,3.0
32466,240,4.3
31714,1084,4.6
19956,1082,4.2
11832,373,3.8
34382,90,3.6
33855,625,2.6
14589,520,5.0
16234,289,4.3
23992,743,4.2
37106,985,3.2
22812,787,3.7
40537,798,3.1
14048,1048,3.3
20455,1,3.9
20183,748,3.3
9030,779,5.0
19529,859,5.0
4518,629,2.8
37365,1132,4.2
9021,743,4.6
39039,728,5.0
16654,4,2.5
3813,135,3.4
25718,988,4.0
11706,500,4.3
12221,232,4.3
19196,1025,4.0
266,375,4.1
14694,433,4.6
51,606,5.0
39572,297,2.9
7505,657,4.1
24852,523,3.4
7017,241,3.8
1824,1061,4.2
38237,166,2.2
41938,924,4.6
14451,598,3.7
34236,942,4.2
3975,1010,4.9
12967,770,3.4
40107,578,4.1
4420,199,3.2
4416,967,4.4
15589,380,3.8
14935,655,5.0
16584,91,4.2
33402,970,3.4
1312,159,4.5
35406,430,3.8
34964,1099,5.0
20194,89,4.8
34297,477,3.7
30001,341,4.3
31019,672,2.5
39997,663,3.8
7019,896,4.1
33305,56,5.0
39364,257,3.9
8834,154,4.2
21893,1090,3.8
909,457,3.4
25896,941,4.0
5370,601,2.6
42609,1078,4.3
41415,17,3.3
3984,205,5.0
33779,279,4.2
3085,478,5.0
38233,675,2.9
5318,400,4.1
36792,246,3.7
6501,512,4.6
7106,1027,3.6
14334,1163,2.9
23166,233,3.4
5488,988,5.0
22583,242,3.5
12395,1051,5.0
11132,844,4.8
6839,651,3.5
10510,502,4.0
13571,256,5.0
20146,276,4.6
5799,355,2.8
13727,677,3.9
30489,306,4.1
16530,176,3.9
41881,1100,4.4
29872,74,3.5
8748,241,5.0
9091,883,5.0
14898,835,3.6
40671,196,2.7
3271,300,5.0
24277,458,4.0
23641,592,3.7
23304,90,4.6
1372,785,3.4
4847,163,4.1
5822,544,5.0
23511,852,5.0
10010,745,4.3
9120,448,3.4
12005,1148,4.0
17390,368,4.4
23782,28,4.3
11251,316,4.6
21478,430,3.2
30592,743,5.0
3719,435,4.1
9296,1146,4.9
7838,453,3.4
32954,925,4.0
14137,874,2.9
35821,1177,4.1
12107,547,3.6
24892,192,5.0
19334,746,4.3
35974,1093,5.0
108,234,4.4
40362,257,4.9
16368,1187,3.8
40697,1039,4.1
11417,625,4.8
33146,648,5.0
730,1165,4.6
9438,1191,3.8
11820,456,4.2
41624,826,4.2
40207,156,4.6
19638,710,4.5
27727,664,3.7
5570,919,4.7
26043,425,4.1
36399,734,3.9
22862,202,4.7
42692,1159,3.4
39403,167,4.6
31974,220,4.2
33775,371,4.3
1756,85,3.4
33731,128,4.6
11162,478,5.0
39226,576,4.7
36770,1026,5.0
1560,220,4.1
1636,682,3.8
17822,883,3.6
27908,229,3.1
34389,210,3.3
40942,59,4.0
17399,912,3.2
39540,361,4.7
9,170,3.2
14360,1130,3.5
19396,1051,4.5
8495,682,4.3
1906,985,3.3
34438,317,3.6
4560,978,4.4
29751,169,2.1
7333,1192,4.8
1151,815,3.2
37466,88,3.1
16615,118,3.8
23861,361,4.4
12270,381,4.7
27942,741,3.1
23062,1197,4.1
31369,815,4.1
24466,354,4.0
36378,1069,3.4
35242,180,3.3
15550,912,3.9
26851,105,4.8
10527,1129,5.0
208,430,4.1
37107,719,4.9
1627,697,4.1
7380,661,4.3
31400,743,3.8
4534,425,3.3
16440,922,3.8
7027,336,3.5
4670,366,3.7
31283,427,3.1
37964,271,4.0
5134,169,5.0
18894,305,4.1
6897,605,2.7
36170,1066,3.8
26413,37,4.3
20187,698,3.3
18326,594,4.9
13393,1050,4.0
16669,1090,2.3
20718,613,5.0
72,829,4.1
34884,310,3.7
17815,860,3.5
14660,738,4.0
12120,54,3.2
15067,679,4.4
16013,605,5.0
37436,120,4.8
8188,763,4.9
25357,431,3.0
24393,1069,4.4
34348,336,3.2
10303,1195,2.7
6718,498,4.6
5650,1129,2.2
5163,592,3.1
18606,750,3.1
32373,444,4.6
16058,77,4.2
7903,499,4.3
16506,76,4.4
1881,1179,3.7
29437,1029,4.5
9694,944,4.4
39377,699,4.1
15893,985,3.5
31537,642,4.7
23159,1004,2.9
3454,530,3.7
9742,1180,5.0
1684,373,3.7
35586,655,3.4
23569,894,3.8
26919,861,5.0
15190,874,3.7
21222,100,4.2
27054,355,3.5
18985,668,3.3
13261,968,3.6
4993,481,4.0
4663,48,5.0
21683,7,4.2
8132,223,3.7
798,553,3.6
28720,347,3.5
9298,242,5.0
27845,584,3.1
966,299,3.5
38048,631,2.5
27821,791,5.0
14965,328,2.5
1999,948,4.1
32981,391,3.2
1924,645,4.8
16448,487,4.3
27917,124,3.9
32322,795,3.8
40387,1017,4.3
37916,572,4.3
39936,977,4.7
20530,13,3.6
25526,640,4.7
5488,1196,4.5
5478,337,4.1
35133,1054,4.2
31140,1130,4.6
17375,988,4.4
12406,616,5.0
16214,550,5.0
30851,552,2.8
3224,1199,3.0
17813,569,2.9
41962,1091,4.1
14210,357,4.5
30662,781,4.1
34313,310,4.1
8729,134,4.2
29041,589,3.8
30191,823,2.8
4986,1105,3.0
10595,662,4.9
12200,680,4.9
37922,433,3.0
9298,729,5.0
38162,592,3.5
11210,294,4.2
703,1184,5.0
42796,925,3.2
9078,965,2.9
21584,1096,4.5
2083,74,4.3
9002,70,4.4
8933,913,5.0
6698,580,3.6
38231,661,4.0
14995,818,4.9
13221,447,4.1
22708,826,3.7
29070,517,5.0
23659,953,3.3
17207,803,3.7
34529,1168,4.3
32182,445,4.3
13236,826,5.0
40117,403,4.1
33483,593,4.2
116,408,3.3
23945,1159,3.5
35935,1151,5.0
38384,483,3.3
17740,707,3.5
34571,1149,4.4
38307,1150,4.5
2879,69,3.4
3259,599,4.8
41389,589,3.2
11834,1156,2.9
29900,226,4.1
9526,69,4.0
19129,601,3.9
31359,895,4.6
31306,234,3.6
1406,156,4.2
41080,943,4.0
16650,604,4.1
31007,376,2.2
29960,1107,3.0
32365,202,3.6
33973,608,4.7
2319,655,4.1
10081,50,4.6
8200,89,2.7
27583,1158,4.3
33921,899,3.9
31978,617,3.3
28044,879,3.7
11407,304,2.7
35230,947,5.0
21768,387,5.0
42964,1133,4.1
29756,1022,3.3
37243,368,5.0
6865,377,4.5
7389,332,5.0
6948,44,3.4
7461,414,2.7
31459,430,2.0
5837,868,4.4
39758,367,3.8
36238,583,5.0
4285,524,2.9
11639,976,3.4
39518,322,3.2
38972,445,4.1
1703,184,4.1
4570,1199,4.4
39558,409,5.0
17247,803,4.5
19341,44,4.0
39971,998,1.9
32123,736,2.3
24883,642,3.5
4089,608,3.3
16507,12,3.2
8947,567,4.3
14013,27,4.0
33166,421,4.2
23995,402,4.3
4258,893,5.0
39904,25,4.3
17121,799,4.5
43095,603,2.7
32003,80,4.7
21565,682,3.6
26990,784,4.1
18642,469,3.8
8539,633,4.5
17984,1107,4.7
8596,1052,4.6
1503,431,3.8
36269,956,4.4
23253,785,4.3
2121,532,2.3
21157,526,5.0
29179,281,4.6
24228,862,2.9
1783,406,4.7
2328,903,4.3
24217,473,2.8
18072,333,2.8
36708,1136,5.0
21516,211,4.4
6288,598,3.9
24315,652,3.5
20409,733,4.4
15952,1038,3.5
29021,671,4.1
33085,603,3.5
41753,663,4.0
24992,348,3.2
5725,191,3.4
32858,1140,4.6
23169,2,4.9
9905,360,2.5
33344,334,3.4
22106,149,3.8
10634,758,3.4
35294,522,4.0
42167,28,3.3
11287,244,4.6
32551,919,5.0
29631,833,4.2
8682,832,5.0
40792,964,3.2
14175,393,3.5
34937,964,5.0
22871,583,3.8
17148,18,4.0
13555,646,3.1
38055,901,3.9
43228,656,4.0
39220,835,4.5
9477,1021,2.7
40687,237,3.7
26542,641,3.6
9201,661,4.1
42494,434,2.1
7337,181,3.3
27231,253,3.2
17019,768,4.8
2820,337,3.3
5785,1141,3.3
34589,570,4.3
20911,889,5.0
17342,37,3.8
30992,960,5.0
11713,1125,4.0
6862,276,5.0
30212,401,4.2
18662,314,4.7
27532,215,4.4
8183,1000,2.9
41416,874,4.4
16357,385,4.0
10490,503,4.1
35560,534,4.8
18490,685,3.6
41350,904,3.4
709,589,3.7
14958,235,3.7
40681,1031,5.0
5303,213,2.6
3806,772,4.5
13833,590,3.8
1887,856,3.8
17357,894,4.2
31338,487,3.5
36205,924,3.7
11953,559,3.9
27176,909,4.5
7495,790,3.6
37063,1010,5.0
20112,1023,3.0
19393,808,4.7
17266,141,4.9
32521,127,3.6
13247,967,4.0
29572,199,2.6
25432,60,3.8
32282,914,3.3
9813,1139,4.1
12588,185,3.5
29050,279,4.1
11404,378,5.0
1098,1066,4.0
39727,787,3.6
6096,296,4.2
37907,346,2.5
15358,4,5.0
25937,178,3.8
39454,1070,4.6
41738,574,4.1
16477,1057,5.0
1806,1118,5.0
21251,707,4.9
42239,188,3.6
17811,479,4.1
32511,69,3.2
24707,809,4.0
31109,1131,4.0
24134,562,3.2
2199,1043,5.0
11038,298,3.3
30598,931,4.8
31826,45,4.5
35620,586,3.1
29483,240,3.5
20564,475,3.6
15282,916,3.7
35797,1179,5.0
9805,993,4.5
7742,841,5.0
14193,448,4.2
27591,566,3.7
23105,484,3.8
33074,250,5.0
27384,537,4.3
23098,901,4.4
34561,473,4.4
19182,556,4.2
27597,142,3.6
11101,850,4.4
1388,925,4.2
42153,144,5.0
35297,1045,4.9
14431,536,3.7
35250,1,5.0
13499,343,4.3
14701,1092,5.0
25453,544,4.9
3669,417,5.0
26808,822,4.0
40488,395,2.9
41422,136,4.6
7444,835,3.4
23856,879,3.9
10054,4,4.1
30916,499,3.8
30967,705,4.0
20799,1142,2.7
25427,133,3.7
31486,1180,4.8
17813,251,3.2
31004,762,3.4
33467,140,3.8
16644,40,4.0
18298,478,4.5
9963,812,3.0
18914,1117,3.9
11282,412,4.7
20832,113,4.1
5867,524,3.3
22273,668,5.0
21433,434,4.0
9520,1103,5.0
27215,727,3.8
24912,28,4.1
20038,292,4.7
2322,137,4.6
4174,827,3.7
25179,385,3.0
20659,361,3.7
18842,1024,2.9
35003,364,4.4
7691,758,4.3
41728,149,3.8
42012,156,3.9
1505,351,5.0
27679,527,4.0
13673,976,4.1
10434,676,4.3
20827,190,5.0
39265,330,2.9
33633,232,2.9
415,7,5.0
40887,364,2.8
28486,1158,4.4
34915,244,3.8
1305,118,5.0
30195,6,4.1
12977,182,3.4
30379,234,4.2
32774,386,3.0
29431,520,3.0
56,358,2.8
7856,340,3.4
15582,900,3.4
38972,515,2.2
11516,286,4.5
21084,1165,4.7
39059,653,4.4
24372,436,2.2
29441,903,4.0
17793,58,4.8
35566,46,2.2
8307,805,2.0
17224,605,2.5
17788,567,4.0
20245,1195,3.0
19946,253,2.6
22705,643,4.8
42439,1097,3.7
3518,775,4.0
5988,158,5.0
30946,535,3.9
18600,1184,4.0
42781,898,2.5
31493,1139,4.0
24656,289,3.5
17707,1040,5.0
1150,215,5.0
38573,541,4.5
21455,115,4.1
298,72,5.0
5083,1063,4.7
10559,897,3.6
9778,875,5.0
1494,1129,4.9
2067,505,2.4
34504,284,2.9
4587,609,4.9
13711,609,4.6
10271,67,4.4
21693,725,3.6
40298,930,3.3
24201,178,4.9
